url,predicted_category,confidence,reasoning,timestamp
https://tidycal.com/,2_Persuasive,high,"The single clear CTA above the fold and social proof elements such as 'Product of the day 1st', 'Product of the week 1st', and 'Product of the month 2nd' on Product Hunt indicate a persuasive design intent.",2026-03-02T20:28:01.295667+00:00
https://www.eventbrite.com/,2_Persuasive,high,The presence of a single clear CTA above the fold and a prominent call-to-action button 'Get Into Live Music' with minimal competing elements suggests a persuasive design intent.,2026-03-02T20:28:10.468655+00:00
https://motorolanews.com/,2_Persuasive,high,"The presence of a clear and prominent title, a large hero image showcasing a product, and a navigation menu with simple options suggests a persuasive design intent to engage users and guide them toward a conversion action.",2026-03-02T20:28:22.173909+00:00
https://xn--sr8hvo.ws/,3_Neutral,high,"The presence of a prominent directory page link, a random site link, and a minimal sign-in form with no aggressive CTAs or manipulative elements suggests a utility-focused interface that helps users find information and leave.",2026-03-02T20:28:28.972713+00:00
https://breezedoc.com/,2_Persuasive,high,"The presence of a single clear CTA above the fold, social proof elements such as 'Trusted by 20k+ businesses', and a strong visual hierarchy that serves comprehension are indicative of a persuasive design intent.",2026-03-02T20:28:38.872980+00:00
https://luma.com/,2_Persuasive,high,"The presence of a single clear CTA above the fold ('Create Your First Event') and a visually appealing, straightforward design focused on encouraging event creation.",2026-03-02T20:28:46.408025+00:00
https://govbase.com/,2_Persuasive,medium,The presence of a clear call-to-action ('Get Started') and a prominent section highlighting trending news and upcoming elections suggests an intent to engage users and guide them toward further interaction.,2026-03-02T20:29:03.332941+00:00
https://formrobin.com/,2_Persuasive,high,"The prominent single clear CTA above the fold, 'Create Your Free Form', with supporting text and no aggressive or manipulative elements.",2026-03-02T20:29:41.601656+00:00
http://example.net/,4_Grounding,high,"The presence of long-form editorial text and a simple, minimalistic design with a clear title and a single link to 'Learn more' suggests a focus on presenting information rather than driving a specific action.",2026-03-02T20:29:47.909761+00:00
https://e.foundation/,2_Persuasive,high,"The presence of a single clear call-to-action (CTA) above the fold, along with a prominent visual hierarchy and narrative elements, indicates a persuasive design intent.",2026-03-02T20:29:57.014961+00:00
https://opencollective.com/,2_Persuasive,high,The single clear CTA above the fold and the presence of a 'Start Now' button with a minimalistic design and clear typography indicate a persuasive design intent.,2026-03-02T20:30:04.330314+00:00
https://help.appsumo.com/,3_Neutral,high,"The prominent search input field as the primary affordance on the page indicates a focus on helping users find information efficiently, which is characteristic of a Neutral design intent.",2026-03-02T20:30:12.254393+00:00
https://starlightconvenience.net/,4_Grounding,high,"The presence of long-form editorial text and a minimal, almost academic layout with a focus on reading, along with a low saturation color palette and no visible CTAs or manipulative elements, indicates a design intent to leave users present and informed.",2026-03-02T20:30:49.047654+00:00
https://fraidyc.at/,2_Persuasive,high,"The presence of a clear and prominent call-to-action (CTA) to download the Fraidycat extension, along with a simple and focused design, indicates a persuasive intent to encourage users to install the extension.",2026-03-02T20:30:57.429175+00:00
https://sell.appsumo.com/,2_Persuasive,high,"The presence of a clear and prominent CTA (""Start selling"") above the fold, along with social proof elements like featured partners, indicates a persuasive design intent.",2026-03-02T20:31:06.497232+00:00
https://startupschool.org/,2_Persuasive,high,The single clear CTA above the fold and the presence of a clear educational narrative indicate a persuasive design intent.,2026-03-02T20:31:15.068187+00:00
https://schipper.ai/,4_Grounding,high,"The presence of long-form editorial text and minimal CTAs, along with a personal blog-like structure, indicates a design intent focused on leaving the user informed or at rest.",2026-03-02T20:31:22.101028+00:00
https://bookface.ycombinator.com/,2_Persuasive,high,The presence of a clear and prominent call-to-action (Submit a deal now) along with a highlighted value proposition for YC companies indicates a persuasive design intent.,2026-03-02T20:31:59.592184+00:00
https://www.dhzdhd.dev/,4_Grounding,high,"The presence of a simple, centered greeting with ample whitespace and no visible CTAs or aggressive design elements suggests a focus on presenting information rather than driving a specific action.",2026-03-02T20:32:06.778718+00:00
https://go.getproton.me/,2_Persuasive,high,"The presence of a single clear CTA above the fold, along with a focused visual hierarchy and minimal distractions, indicates a persuasive design intent to encourage users to obtain Proton VPN.",2026-03-02T20:32:17.999847+00:00
https://account.ycombinator.com/,2_Persuasive,high,The presence of a clear and prominent call-to-action (Log In) above the fold with a simple form and minimal distractions suggests an honest attempt to move users toward a conversion action.,2026-03-02T20:32:25.475886+00:00
https://getbruin.com/,2_Persuasive,high,"The presence of a clear and prominent call-to-action (""Book a demo"") above the fold, along with a simple and clean design, suggests a persuasive intent to encourage users to take a specific action.",2026-03-02T20:32:33.660719+00:00
https://www.paul-layzell.com/,2_Persuasive,high,"The presence of a clear and prominent logo with navigation links and a large hero image with various characters suggests a creative or gaming-related website, and the overall design seems to promote engagement without aggressive CTAs or dark patterns.",2026-03-02T20:32:41.073487+00:00
https://win.softpedia.com/,1_Extractive,high,The presence of a prominent block message and a call to action to contact the site owner indicates an interruptive pattern typical of extractive interfaces.,2026-03-02T20:32:48.814378+00:00
https://deals.ycombinator.com/,2_Persuasive,high,The presence of a single clear CTA above the fold and a clear visual hierarchy that serves comprehension are indicative of a persuasive design intent.,2026-03-02T20:32:57.299260+00:00
https://understandlegacycode.com/,4_Grounding,high,"The presence of long-form editorial text, generous whitespace, and minimal CTAs suggests a design focused on reading and comprehension rather than conversion or task completion.",2026-03-02T20:33:05.853705+00:00
https://brid.gy/,2_Persuasive,high,"The presence of a clear and prominent call-to-action to connect accounts, along with a simple and clean visual hierarchy, suggests a persuasive design intent to encourage user engagement.",2026-03-02T20:33:13.102481+00:00
https://mac.softpedia.com/,1_Extractive,high,"The presence of an aggressive block message with a prominent red 'X' symbol and a call to action to contact the site owner suggests an extractive design intent, likely aimed at prompting immediate action from the user.",2026-03-02T20:33:19.788568+00:00
https://experts.webflow.com/,2_Persuasive,high,The prominent 'Get matched' and 'Browse partners' buttons above the fold with a clear headline and brief description indicate a persuasive design intent to encourage users to take a specific action.,2026-03-02T20:33:29.618375+00:00
https://quill.p3k.io/,3_Neutral,high,The presence of a simple input field for entering a URL and a clear sign-in button with minimal other elements suggests a utility-focused interface that helps users complete a task and leave.,2026-03-02T20:33:36.733189+00:00
https://linux.softpedia.com/,1_Extractive,high,"The presence of an aggressive block message with a prominent red 'X' symbol and a clear intent to restrict access suggests the use of a dark pattern, characteristic of extractive interfaces.",2026-03-02T20:33:43.730004+00:00
https://university.webflow.com/,2_Persuasive,high,The prominent call-to-action 'Try Webflow — it’s free' above the fold and the clear educational intent suggest a persuasive design.,2026-03-02T20:33:53.065278+00:00
https://www.lihaoyi.com/,4_Grounding,high,The presence of long-form editorial text and a blog-like layout with article titles and dates suggests a focus on reading and leaving users informed.,2026-03-02T20:34:00.084962+00:00
https://commentpara.de/,3_Neutral,high,The presence of a prominent URL input field and minimal navigation elements suggests a utility-focused design aimed at helping users complete a specific task.,2026-03-02T20:34:07.316835+00:00
https://drivers.softpedia.com/,1_Extractive,high,"The presence of a blocking message with a clear intent to restrict access and a call to action to contact the site owner suggests an extractive design, as it employs a manipulative tactic to control user access.",2026-03-02T20:34:14.586364+00:00
https://ebooks.webflow.com/,2_Persuasive,high,"The presence of a clear and prominent call-to-action (Start for free) above the fold, along with a minimalistic design and a clear visual hierarchy, suggests a persuasive design intent aimed at encouraging users to sign up.",2026-03-02T20:34:28.186267+00:00
https://eli.thegreenplace.net/,4_Grounding,high,The presence of long-form editorial text and generous whitespace indicates a focus on reading and comprehension rather than conversion or task completion.,2026-03-02T20:34:35.956516+00:00
https://bluemaxima.org/,3_Neutral,high,"The presence of minimal content, a simple layout, and a list of project links without prominent CTAs or aggressive design elements suggests a utility or reference-oriented feel.",2026-03-02T20:34:43.241326+00:00
https://mobile.softpedia.com/,1_Extractive,high,The presence of a prominent block message indicating access denial with a clear intent to manipulate the user's next action by providing an email address to contact the site owner suggests an extractive design.,2026-03-02T20:34:50.018011+00:00
https://forum.webflow.com/,3_Neutral,high,The prominent search input field and the lack of aggressive CTAs or manipulative elements suggest a neutral intent to help users find information and complete tasks.,2026-03-02T20:35:00.267838+00:00
https://www.noelberry.ca/,4_Grounding,high,The presence of long-form text and pixel art images with generous whitespace and minimal CTAs suggests a focus on presenting information and art rather than driving a specific action.,2026-03-02T20:35:07.784000+00:00
https://ruffle.rs/,2_Persuasive,high,"The presence of a clear and prominent call-to-action (CTA) buttons for 'Windows Executable' and 'Website Package' above the fold, along with a simple and focused visual hierarchy, indicates a persuasive design intent.",2026-03-02T20:35:19.250045+00:00
https://news.softpedia.com/,3_Neutral,high,The presence of a prominent search input and a dense list of information (latest reviews) with minimal CTAs and no aggressive manipulation patterns suggests a utility-focused design.,2026-03-02T20:35:28.886909+00:00
https://developers.webflow.com/,2_Persuasive,high,"The presence of a clear and prominent CTA (""Start for free"") above the fold, along with a deliberate visual hierarchy and social proof elements (logos of well-known companies), indicates a persuasive design intent.",2026-03-02T20:35:39.435205+00:00
https://blog.recurity-labs.com/,4_Grounding,high,The presence of long-form editorial text and a lack of prominent CTAs or manipulative elements suggests a design focused on presenting information.,2026-03-02T20:35:46.427877+00:00
https://superbad.com/,4_Grounding,high,"The presence of a large, centered image with minimal text and no visible CTAs or aggressive design elements suggests a focus on presenting information or art rather than driving a specific action.",2026-03-02T20:35:53.313758+00:00
https://www.ashampoo.com/,1_Extractive,high,"The presence of a prominent countdown timer (02:22:56) and a banner advertising a 'FLASH SALE' with a scarcity message ('ONLY FOR A SHORT TIME!') indicates the use of scarcity manipulation, a common dark pattern.",2026-03-02T20:36:04.598505+00:00
https://wishlist.webflow.com/,3_Neutral,high,"The presence of a prominent search input and a dense list of features and categories suggests a utility-focused interface aimed at helping users find and interact with existing content, characteristic of a neutral interface.",2026-03-02T20:36:12.875793+00:00
https://arxiv.org/,3_Neutral,high,The prominent search input and dense information architecture with high navigation link count are the most decisive visual features indicating a neutral design intent.,2026-03-02T20:36:20.087378+00:00
https://angusnicneven.com/,1_Extractive,high,"The presence of ominous, dramatic text and a hooded figure in the background suggests an attempt to manipulate or coerce the user, which aligns with the characteristics of extractive design.",2026-03-02T20:36:27.641607+00:00
https://www.irfanview.com/,2_Persuasive,high,The presence of a clear and prominent download CTA above the fold with a specific version number and bit options indicates a persuasive design intent to encourage users to download the software.,2026-03-02T20:36:34.801789+00:00
https://status.webflow.com/,3_Neutral,high,"The presence of a simple, factual status update page with minimal navigation and no prominent CTAs or manipulative elements indicates a neutral intent to help users complete a task and leave.",2026-03-02T20:36:43.296374+00:00
https://dfarq.homeip.net/,4_Grounding,high,The presence of long-form editorial text and a lack of prominent CTAs or manipulative elements suggests a design intent focused on leaving users present and informed.,2026-03-02T20:36:50.731855+00:00
